full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,116314,116314,19365,88,88,13,https://github.com/anthropics/claude-code
claude-code-best/claude-code,16506,16506,15299,26,26,11,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,162281,162281,25218,262,262,36,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2048,2048,5761,1,1,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,2703,2703,4144,6,6,8,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,55184,55184,9089,60,60,13,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8960,8960,14529,7,7,0,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2230,2230,3055,8,8,5,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1509,1509,2396,0,0,1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1215,1215,2196,1,1,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,39935,39935,3307,38,38,4,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,63,63,7312,0,0,2,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,46959,46959,4613,84,84,7,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32615,32615,2601,11,11,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24800,24800,2453,13,13,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,763,763,1117,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,178,178,2273,0,0,1,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3028,3028,3758,2,2,2,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2177,2177,3484,0,0,1,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17829,17829,2035,21,21,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7191,7191,1738,5,5,1,https://github.com/anthropics/claude-code-action
Donchitos/Claude-Code-Game-Studios,14459,14459,2045,134,134,24,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,9185,9185,1647,15,15,1,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9521,9521,1213,1,1,2,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1806,1806,1378,5,5,5,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8761,8761,655,2,2,0,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,288,288,585,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,756,756,1739,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2190,2190,2186,4,4,1,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7845,7845,578,2,2,2,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,953,953,1950,3,3,2,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5814,5814,534,3,3,1,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2853,2853,660,7,7,2,https://github.com/lintsinghua/claude-code-book
OneRedOak/claude-code-workflows,3782,3782,554,-1,-1,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,557,557,1287,0,0,1,https://github.com/huangserva/claude-code-cli
anthropics/skills,121151,121151,14074,159,159,26,https://github.com/anthropics/skills
1rgs/claude-code-proxy,3461,3461,456,2,2,0,https://github.com/1rgs/claude-code-proxy
alex000kim/claude-code,218,218,324,0,0,0,https://github.com/alex000kim/claude-code
777genius/claude-code-source-code,898,898,1120,0,0,0,https://github.com/777genius/claude-code-source-code
xorespesp/claude-code,219,219,304,0,0,1,https://github.com/xorespesp/claude-code
disler/claude-code-hooks-mastery,3544,3544,598,1,1,0,https://github.com/disler/claude-code-hooks-mastery
qwibitai/nanoclaw,27594,27594,12490,19,19,21,https://github.com/qwibitai/nanoclaw
zebbern/claude-code-guide,3960,3960,376,1,1,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,272,272,267,-1,-1,-1,https://github.com/VineeTagarwaL-code/claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7658,7658,385,4,4,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1410,1410,574,2,2,-1,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,3763,3763,515,13,13,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zstmfhy/Claude-code,192,192,285,0,0,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5277,5277,199,-1,-1,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2352,2352,404,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2461,2461,354,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,124,124,290,0,0,1,https://github.com/freestylefly/claude-code
anthropics/claude-code-security-review,4329,4329,387,1,1,0,https://github.com/anthropics/claude-code-security-review
wanshuiyin/Auto-claude-code-research-in-sleep,7104,7104,662,4,4,7,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Alishahryar1/free-claude-code,1998,1998,370,4,4,4,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1949,1949,519,4,4,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2469,2469,344,1,1,1,https://github.com/RichardAtCT/claude-code-telegram
nicedreamzapp/claude-code-local,1720,1720,346,58,58,17,https://github.com/nicedreamzapp/claude-code-local
chiragjoshi12/claude-code,188,188,230,0,0,1,https://github.com/chiragjoshi12/claude-code
sickn33/antigravity-awesome-skills,34199,34199,5652,44,44,6,https://github.com/sickn33/antigravity-awesome-skills
ding113/claude-code-hub,2573,2573,291,5,5,1,https://github.com/ding113/claude-code-hub
alejandrobalderas/claude-code-from-source,1662,1662,511,3,3,1,https://github.com/alejandrobalderas/claude-code-from-source
Cranot/claude-code-guide,2624,2624,289,1,1,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,165,165,220,0,0,0,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,208,208,208,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,372,372,613,0,0,0,https://github.com/AprilNEA/claude-code-source
isboyjc/claude-code,153,153,213,0,0,1,https://github.com/isboyjc/claude-code
anthropics/claude-code-base-action,797,797,600,2,2,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,27539,27539,4556,52,52,7,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,490,490,681,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,949,949,359,0,0,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,1200,1200,478,1,1,1,https://github.com/luyao618/Claude-Code-Source-Study
JrCx7scC/claude-code-source,354,354,525,0,0,-1,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,1358,1358,414,2,2,3,https://github.com/rohitg00/awesome-claude-code-toolkit
bfly123/claude_code_bridge,2310,2310,217,-2,-2,0,https://github.com/bfly123/claude_code_bridge
forrestchang/andrej-karpathy-skills,67582,67582,6022,1820,1820,227,https://github.com/forrestchang/andrej-karpathy-skills
edmund-io/edmunds-claude-code,1405,1405,282,-1,-1,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3676,3676,258,6,6,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,30333,30333,2811,63,63,3,https://github.com/Yeachan-Heo/oh-my-claudecode
eyaltoledano/claude-task-master,26610,26610,2485,6,6,1,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,17501,17501,1737,29,29,1,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,17430,17430,2062,23,23,2,https://github.com/anthropics/claude-plugins-official
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3408,3408,658,2,2,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,490,490,392,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
lowcortisolprogrammer/claude-code,172,172,162,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
wshobson/agents,33976,33976,3682,18,18,2,https://github.com/wshobson/agents
carlvellotti/claude-code-pm-course,1887,1887,294,3,3,0,https://github.com/carlvellotti/claude-code-pm-course
alirezarezvani/claude-skills,12088,12088,1590,32,32,3,https://github.com/alirezarezvani/claude-skills
ghuntley/claude-code-source-code-deobfuscation,973,973,556,0,0,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
luongnv89/claude-howto,27882,27882,3408,46,46,6,https://github.com/luongnv89/claude-howto
slopus/happy,18838,18838,1541,20,20,2,https://github.com/slopus/happy
andrew-kramer-inno/claude-code-source-build,575,575,510,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1449,1449,217,-1,-1,0,https://github.com/feiskyer/claude-code-settings
farion1231/cc-switch,47958,47958,3064,151,151,7,https://github.com/farion1231/cc-switch
sugyan/claude-code-webui,1036,1036,238,3,3,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,208,208,455,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
garrytan/gstack,78762,78762,11325,78762,78762,11325,https://github.com/garrytan/gstack
NanmiCoder/cc-haha,7533,7533,6883,93,93,30,https://github.com/NanmiCoder/cc-haha
Windy3f3f3f3f/claude-code-from-scratch,963,963,327,1,1,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
