full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,77341,77341,6296,91,91,9,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,73918,73918,9249,295,295,30,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,25726,25726,4619,123,123,22,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29567,29567,2272,19,19,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22833,22833,2174,12,12,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,27761,27761,1813,43,43,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6232,6232,1540,5,5,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13592,13592,1506,21,21,2,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,13989,13989,1317,114,114,11,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9235,9235,1193,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7773,7773,555,10,10,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5789,5789,802,13,13,1,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3706,3706,545,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5504,5504,470,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3208,3208,424,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3293,3293,574,3,3,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3587,3587,333,0,0,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4469,4469,317,3,3,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,619,619,1054,2,2,2,https://github.com/pedrohcgs/claude-code-my-workflow
kodu-ai/claude-coder,5288,5288,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2191,2191,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6927,6927,338,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,92216,92216,9870,241,241,33,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2146,2146,309,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,22123,22123,4756,58,58,57,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2471,2471,261,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3754,3754,311,2,2,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2037,2037,258,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,602,602,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,15991,15991,2596,81,81,10,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1310,1310,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,607,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3518,3518,248,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
ding113/claude-code-hub,1807,1807,222,16,16,5,https://github.com/ding113/claude-code-hub
wshobson/agents,31123,31123,3411,16,16,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25904,25904,2452,0,0,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12779,12779,1351,21,21,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,8346,8346,1067,19,19,2,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,10325,10325,819,8,8,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1298,1298,191,0,0,0,https://github.com/feiskyer/claude-code-settings
obra/superpowers,80559,80559,6247,461,461,46,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1617,1617,240,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,958,958,219,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,859,859,420,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1459,1459,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
FlorianBruniaux/claude-code-ultimate-guide,1356,1356,240,5,5,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
sickn33/antigravity-awesome-skills,23827,23827,4097,88,88,10,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,590,590,53,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,76339,76339,6501,71,71,6,https://github.com/github/spec-kit
centminmod/my-claude-code-setup,1962,1962,182,1,1,0,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1566,1566,142,6,6,1,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,1636,1636,188,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
rizethereum/claude-code-requirements-builder,1754,1754,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,15036,15036,1168,30,30,5,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1421,1421,181,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1000,1000,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
trailofbits/claude-code-config,1574,1574,120,1,1,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1170,1170,142,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1260,1260,354,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
anthropics/claude-plugins-official,10449,10449,1053,132,132,14,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1468,1468,121,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,27527,27527,1671,177,177,10,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1159,1159,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1124,1124,126,1,1,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1600,1600,194,6,6,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
peterkrueck/Claude-Code-Development-Kit,1324,1324,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,978,978,122,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,769,769,140,-1,-1,0,https://github.com/0xfurai/claude-code-subagents
winfunc/opcode,20902,20902,1608,4,4,0,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1577,1577,100,0,0,0,https://github.com/pchalasani/claude-code-tools
alirezarezvani/claude-code-tresor,606,606,141,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1923,1923,301,14,14,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
d-kimuson/claude-code-viewer,964,964,110,1,1,0,https://github.com/d-kimuson/claude-code-viewer
wasabeef/claude-code-cookbook,1035,1035,111,1,1,0,https://github.com/wasabeef/claude-code-cookbook
